# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
platform.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: See OBJECT_TYPE constants in AssetIDs.h


#Color box
40	10	195	8	8	3	411000	412000	413000
#43	100	155	16	16	12	3	432001	432002	432003	432004	432005	432006	432007	432008	432009

#MARIO
10	20	10

#BRICKS
#Question...
#33	192	128
#33	208	128

#33	240	80
#33	256	80

33	5	180
33	5	160
33	5	140
33	5	120
33	5	100

 
#Goomba (All - Enemies)
#11	300	10
#12	280	10
#13	250	10
#14	230	10
#15	210	150
#16	210	150
#17	180	150

#Koopa

#COIN (Disappear-able)
#20	180	150
#21	180	140

22	180	140
33	180	140
33	160	140
33	140	140
33	120	140

#Platform
40	10	192	16	16	99	411000	412000	413000

#Portal 
